taxon_ids,user_supplied_name,submitted_name,matched_name,data_source_title,score
Pteropus livingstonii,Pteropus livingstonii,Pteropus livingstonii,Pteropus livingstonii,NCBI,0.988
Buteo rufinus,Buteo rufinus,Buteo rufinus,Buteo rufinus,NCBI,0.988
"Canis ,Ovis aries",Canis ,Canis,Canis,Catalogue of Life,0.75
"Canis ,Ovis aries",Ovis aries,Ovis aries,Ovis aries,NCBI,0.988
"Buteo rufinus,Circaetus gallicus",Buteo rufinus,Buteo rufinus,Buteo rufinus,NCBI,0.988
"Buteo rufinus,Circaetus gallicus",Circaetus gallicus,Circaetus gallicus,Circaetus gallicus,NCBI,0.988
Testudinidae,Testudinidae,Testudinidae,Testudinidae,Catalogue of Life,0.75
"Zalophus californianus,Mirounga angustirostris,Canis mesomelas,Syncerus caffer,Gyps africanus,Phoebastria irrorata,Loxodonta africana,Equus quagga,Antidorcas marsupialis,Chelonoidis hoodensis,Chelonoidis porteri",Zalophus californianus,Zalophus californianus,Zalophus californianus,NCBI,0.988
"Zalophus californianus,Mirounga angustirostris,Canis mesomelas,Syncerus caffer,Gyps africanus,Phoebastria irrorata,Loxodonta africana,Equus quagga,Antidorcas marsupialis,Chelonoidis hoodensis,Chelonoidis porteri",Mirounga angustirostris,Mirounga angustirostris,Mirounga angustirostris,NCBI,0.988
"Zalophus californianus,Mirounga angustirostris,Canis mesomelas,Syncerus caffer,Gyps africanus,Phoebastria irrorata,Loxodonta africana,Equus quagga,Antidorcas marsupialis,Chelonoidis hoodensis,Chelonoidis porteri",Canis mesomelas,Canis mesomelas,Canis mesomelas,NCBI,0.988
"Zalophus californianus,Mirounga angustirostris,Canis mesomelas,Syncerus caffer,Gyps africanus,Phoebastria irrorata,Loxodonta africana,Equus quagga,Antidorcas marsupialis,Chelonoidis hoodensis,Chelonoidis porteri",Syncerus caffer,Syncerus caffer,Syncerus caffer,NCBI,0.988
"Zalophus californianus,Mirounga angustirostris,Canis mesomelas,Syncerus caffer,Gyps africanus,Phoebastria irrorata,Loxodonta africana,Equus quagga,Antidorcas marsupialis,Chelonoidis hoodensis,Chelonoidis porteri",Gyps africanus,Gyps africanus,Gyps africanus,NCBI,0.988
"Zalophus californianus,Mirounga angustirostris,Canis mesomelas,Syncerus caffer,Gyps africanus,Phoebastria irrorata,Loxodonta africana,Equus quagga,Antidorcas marsupialis,Chelonoidis hoodensis,Chelonoidis porteri",Phoebastria irrorata,Phoebastria irrorata,Phoebastria irrorata,NCBI,0.988
"Zalophus californianus,Mirounga angustirostris,Canis mesomelas,Syncerus caffer,Gyps africanus,Phoebastria irrorata,Loxodonta africana,Equus quagga,Antidorcas marsupialis,Chelonoidis hoodensis,Chelonoidis porteri",Loxodonta africana,Loxodonta africana,Loxodonta africana,NCBI,0.988
"Zalophus californianus,Mirounga angustirostris,Canis mesomelas,Syncerus caffer,Gyps africanus,Phoebastria irrorata,Loxodonta africana,Equus quagga,Antidorcas marsupialis,Chelonoidis hoodensis,Chelonoidis porteri",Equus quagga,Equus quagga,Equus quagga,Freebase,0.988
"Zalophus californianus,Mirounga angustirostris,Canis mesomelas,Syncerus caffer,Gyps africanus,Phoebastria irrorata,Loxodonta africana,Equus quagga,Antidorcas marsupialis,Chelonoidis hoodensis,Chelonoidis porteri",Antidorcas marsupialis,Antidorcas marsupialis,Antidorcas marsupialis,NCBI,0.988
"Zalophus californianus,Mirounga angustirostris,Canis mesomelas,Syncerus caffer,Gyps africanus,Phoebastria irrorata,Loxodonta africana,Equus quagga,Antidorcas marsupialis,Chelonoidis hoodensis,Chelonoidis porteri",Chelonoidis hoodensis,Chelonoidis hoodensis,Chelonoidis hoodensis,NCBI,0.988
"Zalophus californianus,Mirounga angustirostris,Canis mesomelas,Syncerus caffer,Gyps africanus,Phoebastria irrorata,Loxodonta africana,Equus quagga,Antidorcas marsupialis,Chelonoidis hoodensis,Chelonoidis porteri",Chelonoidis porteri,Chelonoidis porteri,Chelonoidis porteri,NCBI,0.988
Orycteropus afer,Orycteropus afer,Orycteropus afer,Orycteropus afer,NCBI,0.988
"Homo sapiens,Pongo pygmaeus",Homo sapiens,Homo sapiens,Homo sapiens,NCBI,0.988
"Homo sapiens,Pongo pygmaeus",Pongo pygmaeus,Pongo pygmaeus,Pongo pygmaeus,NCBI,0.988
Cyanoliseus patagonus,Cyanoliseus patagonus,Cyanoliseus patagonus,Cyanoliseus patagonus,NCBI,0.988
Pterodroma phaeopygia,Pterodroma phaeopygia,Pterodroma phaeopygia,Pterodroma phaeopygia,NCBI,0.988
Creagrus furcatus,Creagrus furcatus,Creagrus furcatus,Creagrus furcatus,NCBI,0.988
"Anas platyrhynchos,Anas penelope,Aythya fuligula,Netta rufina,Fulica atra",Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,NCBI,0.988
"Anas platyrhynchos,Anas penelope,Aythya fuligula,Netta rufina,Fulica atra",Anas penelope,Anas penelope,Anas penelope,Freebase,0.988
"Anas platyrhynchos,Anas penelope,Aythya fuligula,Netta rufina,Fulica atra",Aythya fuligula,Aythya fuligula,Aythya fuligula,NCBI,0.988
"Anas platyrhynchos,Anas penelope,Aythya fuligula,Netta rufina,Fulica atra",Netta rufina,Netta rufina,Netta rufina,NCBI,0.988
"Anas platyrhynchos,Anas penelope,Aythya fuligula,Netta rufina,Fulica atra",Fulica atra,Fulica atra,Fulica atra,NCBI,0.988
Larus melanocephalus,Larus melanocephalus,Larus melanocephalus,Larus melanocephalus,AnAge,0.988
Puffinus creatopus,Puffinus creatopus,Puffinus creatopus,Puffinus creatopus,Freebase,0.988
Tadorna ferruginea,Tadorna ferruginea,Tadorna ferruginea,Tadorna ferruginea,NCBI,0.988
Bycanistes bucinator,Bycanistes bucinator,Bycanistes bucinator,Bycanistes bucinator,NCBI,0.988
Ciconia boyciana,Ciconia boyciana,Ciconia boyciana,Ciconia boyciana,NCBI,0.988
Capra hircus,Capra hircus,Capra hircus,Capra hircus,NCBI,0.988
Urocyon cinereoargenteus,Urocyon cinereoargenteus,Urocyon cinereoargenteus,Urocyon cinereoargenteus,NCBI,0.988
"Ciconia ciconia,Tadorna tadorna",Ciconia ciconia,Ciconia ciconia,Ciconia ciconia,NCBI,0.988
"Ciconia ciconia,Tadorna tadorna",Tadorna tadorna,Tadorna tadorna,Tadorna tadorna,NCBI,0.988
Torgos tracheliotus,Torgos tracheliotus,Torgos tracheliotus,Torgos tracheliotus,Encyclopedia of Life,0.988
Cervus nippon,Cervus nippon,Cervus nippon,Cervus nippon,NCBI,0.988
Monodon,Monodon,Monodon,Monodon,Catalogue of Life,0.75
"Caretta caretta,Chelonia mydas,Lepidochelys kempii",Caretta caretta,Caretta caretta,Caretta caretta,NCBI,0.988
"Caretta caretta,Chelonia mydas,Lepidochelys kempii",Chelonia mydas,Chelonia mydas,Chelonia mydas,NCBI,0.988
"Caretta caretta,Chelonia mydas,Lepidochelys kempii",Lepidochelys kempii,Lepidochelys kempii,Lepidochelys kempii,NCBI,0.988
"Didelphis virginiana,Procyon lotor",Didelphis virginiana,Didelphis virginiana,Didelphis virginiana,NCBI,0.988
"Didelphis virginiana,Procyon lotor",Procyon lotor,Procyon lotor,Procyon lotor,NCBI,0.988
Meleagris gallopavo,Meleagris gallopavo,Meleagris gallopavo,Meleagris gallopavo,NCBI,0.988
"Aquila chrysaetos,Neophron percnopterus",Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,NCBI,0.988
"Aquila chrysaetos,Neophron percnopterus",Neophron percnopterus,Neophron percnopterus,Neophron percnopterus,NCBI,0.988
"Neophron ,Neophron percnopterus",Neophron ,Neophron,Neophron,Catalogue of Life,0.75
"Neophron ,Neophron percnopterus",Neophron percnopterus,Neophron percnopterus,Neophron percnopterus,NCBI,0.988
Aquila hastata,Aquila hastata,Aquila hastata,Aquila hastata,Freebase,0.988
Nisaetus nipalensis,Nisaetus nipalensis,Nisaetus nipalensis,Nisaetus nipalensis,NCBI,0.988
Sarcogyps calvus,Sarcogyps calvus,Sarcogyps calvus,Sarcogyps calvus,NCBI,0.988
Puffinus,Puffinus,Puffinus,Puffinus,Catalogue of Life,0.75
Puffinus newelli,Puffinus newelli,Puffinus newelli,Puffinus newelli,NCBI,0.988
Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,NCBI,0.988
Cercopithecus mitis,Cercopithecus mitis,Cercopithecus mitis,Cercopithecus mitis,NCBI,0.988
Papio anubis,Papio anubis,Papio anubis,Papio anubis,NCBI,0.988
"Lophocebus ,Cercopithecus mitis,Lophocebus albigena",Lophocebus ,Lophocebus,Lophocebus,Catalogue of Life,0.75
"Lophocebus ,Cercopithecus mitis,Lophocebus albigena",Cercopithecus mitis,Cercopithecus mitis,Cercopithecus mitis,NCBI,0.988
"Lophocebus ,Cercopithecus mitis,Lophocebus albigena",Lophocebus albigena,Lophocebus albigena,Lophocebus albigena,NCBI,0.988
Cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,NCBI,0.988
"Cercopithecus ascanius,Cercopithecus mitis,Lophocebus albigena",Cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,NCBI,0.988
"Cercopithecus ascanius,Cercopithecus mitis,Lophocebus albigena",Cercopithecus mitis,Cercopithecus mitis,Cercopithecus mitis,NCBI,0.988
"Cercopithecus ascanius,Cercopithecus mitis,Lophocebus albigena",Lophocebus albigena,Lophocebus albigena,Lophocebus albigena,NCBI,0.988
"Cercopithecus ascanius,Lophocebus albigena",Cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,NCBI,0.988
"Cercopithecus ascanius,Lophocebus albigena",Lophocebus albigena,Lophocebus albigena,Lophocebus albigena,NCBI,0.988
"Nyctalus ,Nyctalus noctula",Nyctalus ,Nyctalus,Nyctalus,Catalogue of Life,0.75
"Nyctalus ,Nyctalus noctula",Nyctalus noctula,Nyctalus noctula,Nyctalus noctula,NCBI,0.988
