taxon_ids,user_supplied_name,submitted_name,matched_name,data_source_title,score
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Sphyrnidae ,Sphyrnidae,Sphyrnidae,Catalogue of Life,0.75
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Sphyrna lewini,Sphyrna lewini,Sphyrna lewini,NCBI,0.988
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Sphyrna mokarran,Sphyrna mokarran,Sphyrna mokarran,NCBI,0.988
Felis,Felis,Felis,Felis,Catalogue of Life,0.75
Oenanthe oenanthe,Oenanthe oenanthe,Oenanthe oenanthe,Oenanthe oenanthe,NCBI,0.988
Hyaena brunnea,Hyaena brunnea,Hyaena brunnea,Hyaena brunnea,Freebase,0.988
Bassaricyon neblina,Bassaricyon neblina,Bassaricyon neblina,Bassaricyon neblina,NCBI,0.988
Lepidochelys olivacea,Lepidochelys olivacea,Lepidochelys olivacea,Lepidochelys olivacea,NCBI,0.988
"Ommatophoca rossii,Leptonychotes weddellii",Ommatophoca rossii,Ommatophoca rossii,Ommatophoca rossii,NCBI,0.988
"Ommatophoca rossii,Leptonychotes weddellii",Leptonychotes weddellii,Leptonychotes weddellii,Leptonychotes weddellii,NCBI,0.988
Puma concolor,Puma concolor,Puma concolor,Puma concolor,NCBI,0.988
"Panthera onca,Puma concolor",Panthera onca,Panthera onca,Panthera onca,NCBI,0.988
"Panthera onca,Puma concolor",Puma concolor,Puma concolor,Puma concolor,NCBI,0.988
Exaerete frontalis,Exaerete frontalis,Exaerete frontalis,Exaerete frontalis,NCBI,0.988
Orcinus orca,Orcinus orca,Orcinus orca,Orcinus orca,NCBI,0.988
"Circaetus gallicus,Pandion haliaetus",Circaetus gallicus,Circaetus gallicus,Circaetus gallicus,NCBI,0.988
"Circaetus gallicus,Pandion haliaetus",Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,NCBI,0.988
Antrostomus vociferus,Antrostomus vociferus,Antrostomus vociferus,Antrostomus vociferus,NCBI,0.988
Haematopus ostralegus,Haematopus ostralegus,Haematopus ostralegus,Haematopus ostralegus,NCBI,0.988
Passerina ciris,Passerina ciris,Passerina ciris,Passerina ciris,NCBI,0.988
Gavia pacifica,Gavia pacifica,Gavia pacifica,Gavia pacifica,NCBI,0.988
"Passerina ,Passerina ciris",Passerina ,Passerina,Passerina,Catalogue of Life,0.75
"Passerina ,Passerina ciris",Passerina ciris,Passerina ciris,Passerina ciris,NCBI,0.988
Haliaeetus leucoryphus,Haliaeetus leucoryphus,Haliaeetus leucoryphus,Haliaeetus leucoryphus,NCBI,0.988
Ozotoceros bezoarticus,Ozotoceros bezoarticus,Ozotoceros bezoarticus,Ozotoceros bezoarticus,NCBI,0.988
"Neophron percnopterus,Gyps rueppellii,Gyps africanus,Necrosyrtes monachus,Torgos tracheliotus",Neophron percnopterus,Neophron percnopterus,Neophron percnopterus,NCBI,0.988
"Neophron percnopterus,Gyps rueppellii,Gyps africanus,Necrosyrtes monachus,Torgos tracheliotus",Gyps rueppellii,Gyps rueppellii,Gyps rueppellii,NCBI,0.988
"Neophron percnopterus,Gyps rueppellii,Gyps africanus,Necrosyrtes monachus,Torgos tracheliotus",Gyps africanus,Gyps africanus,Gyps africanus,NCBI,0.988
"Neophron percnopterus,Gyps rueppellii,Gyps africanus,Necrosyrtes monachus,Torgos tracheliotus",Necrosyrtes monachus,Necrosyrtes monachus,Necrosyrtes monachus,NCBI,0.988
"Neophron percnopterus,Gyps rueppellii,Gyps africanus,Necrosyrtes monachus,Torgos tracheliotus",Torgos tracheliotus,Torgos tracheliotus,Torgos tracheliotus,Encyclopedia of Life,0.988
Panthera pardus,Panthera pardus,Panthera pardus,Panthera pardus,NCBI,0.988
Pan troglodytes,Pan troglodytes,Pan troglodytes,Pan troglodytes,NCBI,0.988
Hydrobates pelagicus,Hydrobates pelagicus,Hydrobates pelagicus,Hydrobates pelagicus,NCBI,0.988
Vespertilio murinus,Vespertilio murinus,Vespertilio murinus,Vespertilio murinus,NCBI,0.988
Ursus maritimus,Ursus maritimus,Ursus maritimus,Ursus maritimus,NCBI,0.988
Phalacrocorax pelagicus,Phalacrocorax pelagicus,Phalacrocorax pelagicus,Phalacrocorax pelagicus,NCBI,0.988
"Pelecanus occidentalis,Aquila chrysaetos",Pelecanus occidentalis,Pelecanus occidentalis,Pelecanus occidentalis,NCBI,0.988
"Pelecanus occidentalis,Aquila chrysaetos",Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,NCBI,0.988
Perdix perdix,Perdix perdix,Perdix perdix,Perdix perdix,NCBI,0.988
Accipitridae,Accipitridae,Accipitridae,Accipitridae,Catalogue of Life,0.75
"Aves ,Phalacrocorax auritus",Aves ,Aves,Aves,Catalogue of Life,0.75
"Aves ,Phalacrocorax auritus",Phalacrocorax auritus,Phalacrocorax auritus,Phalacrocorax auritus,Freebase,0.988
Phoenicopterus ruber,Phoenicopterus ruber,Phoenicopterus ruber,Phoenicopterus ruber,NCBI,0.988
"Seiurus ,Seiurus aurocapilla",Seiurus ,Seiurus,Seiurus,Catalogue of Life,0.75
"Seiurus ,Seiurus aurocapilla",Seiurus aurocapilla,Seiurus aurocapilla,Seiurus aurocapilla,NCBI,0.988
Sus scrofa,Sus scrofa,Sus scrofa,Sus scrofa,NCBI,0.988
Gymnogyps californianus,Gymnogyps californianus,Gymnogyps californianus,Gymnogyps californianus,NCBI,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Anser albifrons,Anser albifrons,Anser albifrons,NCBI,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Chen caerulescens,Chen caerulescens,Chen caerulescens,Freebase,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Chen rossii,Chen rossii,Chen rossii,Freebase,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,NCBI,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Anas strepera,Anas strepera,Anas strepera,Freebase,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Anas crecca,Anas crecca,Anas crecca,NCBI,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Anas discors,Anas discors,Anas discors,NCBI,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Anas cyanoptera,Anas cyanoptera,Anas cyanoptera,NCBI,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Anas americana,Anas americana,Anas americana,Freebase,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Anas clypeata,Anas clypeata,Anas clypeata,NCBI,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Aythya valisineria,Aythya valisineria,Aythya valisineria,NCBI,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Aythya marila,Aythya marila,Aythya marila,NCBI,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Circus cyaneus,Circus cyaneus,Circus cyaneus,NCBI,0.988
"Anser albifrons,Chen caerulescens,Chen rossii,Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila,Circus cyaneus,Phasianus colchicus",Phasianus colchicus,Phasianus colchicus,Phasianus colchicus,NCBI,0.988
Patagioenas plumbea,Patagioenas plumbea,Patagioenas plumbea,Patagioenas plumbea,NCBI,0.988
Stercorarius pomarinus,Stercorarius pomarinus,Stercorarius pomarinus,Stercorarius pomarinus,NCBI,0.988
"Anas platyrhynchos,Cairina moschata",Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,NCBI,0.988
"Anas platyrhynchos,Cairina moschata",Cairina moschata,Cairina moschata,Cairina moschata,NCBI,0.988
Tympanuchus,Tympanuchus,Tympanuchus,Tympanuchus,Catalogue of Life,0.75
Setophaga discolor,Setophaga discolor,Setophaga discolor,Setophaga discolor,NCBI,0.988
Bubo scandiacus,Bubo scandiacus,Bubo scandiacus,Bubo scandiacus,NCBI,0.988
"Phasianus colchicus,Vulpes vulpes",Phasianus colchicus,Phasianus colchicus,Phasianus colchicus,NCBI,0.988
"Phasianus colchicus,Vulpes vulpes",Vulpes vulpes,Vulpes vulpes,Vulpes vulpes,NCBI,0.988
"Halobaena caerulea,Pachyptila belcheri,Pachyptila desolata",Halobaena caerulea,Halobaena caerulea,Halobaena caerulea,NCBI,0.988
"Halobaena caerulea,Pachyptila belcheri,Pachyptila desolata",Pachyptila belcheri,Pachyptila belcheri,Pachyptila belcheri,NCBI,0.988
"Halobaena caerulea,Pachyptila belcheri,Pachyptila desolata",Pachyptila desolata,Pachyptila desolata,Pachyptila desolata,NCBI,0.988
Pachyptila belcheri,Pachyptila belcheri,Pachyptila belcheri,Pachyptila belcheri,NCBI,0.988
Bovidae,Bovidae,Bovidae,Bovidae,Catalogue of Life,0.75
"Larus marinus,Larus fuscus",Larus marinus,Larus marinus,Larus marinus,NCBI,0.988
"Larus marinus,Larus fuscus",Larus fuscus,Larus fuscus,Larus fuscus,NCBI,0.988
Puffinus opisthomelas,Puffinus opisthomelas,Puffinus opisthomelas,Puffinus opisthomelas,NCBI,0.988
Pulsatrix koeniswaldiana,Pulsatrix koeniswaldiana,Pulsatrix koeniswaldiana,Pulsatrix koeniswaldiana,NCBI,0.988
Ardea purpurea,Ardea purpurea,Ardea purpurea,Ardea purpurea,NCBI,0.988
Phalacrocorax pygmeus,Phalacrocorax pygmeus,Phalacrocorax pygmeus,Phalacrocorax pygmeus,Encyclopedia of Life,0.988
Pyrrhocorax graculus,Pyrrhocorax graculus,Pyrrhocorax graculus,Pyrrhocorax graculus,NCBI,0.988
"Turdus leucomelas,Turdus rufiventris",Turdus leucomelas,Turdus leucomelas,Turdus leucomelas,NCBI,0.988
"Turdus leucomelas,Turdus rufiventris",Turdus rufiventris,Turdus rufiventris,Turdus rufiventris,NCBI,0.988
"Aquila chrysaetos,Neophron percnopterus,Aquila adalberti,Aquila fasciata",Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,NCBI,0.988
"Aquila chrysaetos,Neophron percnopterus,Aquila adalberti,Aquila fasciata",Neophron percnopterus,Neophron percnopterus,Neophron percnopterus,NCBI,0.988
"Aquila chrysaetos,Neophron percnopterus,Aquila adalberti,Aquila fasciata",Aquila adalberti,Aquila adalberti,Aquila adalberti,NCBI,0.988
"Aquila chrysaetos,Neophron percnopterus,Aquila adalberti,Aquila fasciata",Aquila fasciata,Aquila fasciata,Aquila fasciata,Freebase,0.988
"Gyps coprotheres,Trigonoceps occipitalis,Gyps africanus,Necrosyrtes monachus,Torgos tracheliotus",Gyps coprotheres,Gyps coprotheres,Gyps coprotheres,NCBI,0.988
"Gyps coprotheres,Trigonoceps occipitalis,Gyps africanus,Necrosyrtes monachus,Torgos tracheliotus",Trigonoceps occipitalis,Trigonoceps occipitalis,Trigonoceps occipitalis,NCBI,0.988
"Gyps coprotheres,Trigonoceps occipitalis,Gyps africanus,Necrosyrtes monachus,Torgos tracheliotus",Gyps africanus,Gyps africanus,Gyps africanus,NCBI,0.988
"Gyps coprotheres,Trigonoceps occipitalis,Gyps africanus,Necrosyrtes monachus,Torgos tracheliotus",Necrosyrtes monachus,Necrosyrtes monachus,Necrosyrtes monachus,NCBI,0.988
"Gyps coprotheres,Trigonoceps occipitalis,Gyps africanus,Necrosyrtes monachus,Torgos tracheliotus",Torgos tracheliotus,Torgos tracheliotus,Torgos tracheliotus,Encyclopedia of Life,0.988
"Aegypius monachus,Aquila adalberti,Aquila fasciata",Aegypius monachus,Aegypius monachus,Aegypius monachus,NCBI,0.988
"Aegypius monachus,Aquila adalberti,Aquila fasciata",Aquila adalberti,Aquila adalberti,Aquila adalberti,NCBI,0.988
"Aegypius monachus,Aquila adalberti,Aquila fasciata",Aquila fasciata,Aquila fasciata,Aquila fasciata,Freebase,0.988
"Circaetus gallicus,Aquila fasciata",Circaetus gallicus,Circaetus gallicus,Circaetus gallicus,NCBI,0.988
"Circaetus gallicus,Aquila fasciata",Aquila fasciata,Aquila fasciata,Aquila fasciata,Freebase,0.988
"Aquila chrysaetos,Neophron percnopterus,Aquila fasciata",Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,NCBI,0.988
"Aquila chrysaetos,Neophron percnopterus,Aquila fasciata",Neophron percnopterus,Neophron percnopterus,Neophron percnopterus,NCBI,0.988
"Aquila chrysaetos,Neophron percnopterus,Aquila fasciata",Aquila fasciata,Aquila fasciata,Aquila fasciata,Freebase,0.988
"Milvus milvus,Falco cherrug",Milvus milvus,Milvus milvus,Milvus milvus,NCBI,0.988
"Milvus milvus,Falco cherrug",Falco cherrug,Falco cherrug,Falco cherrug,NCBI,0.988
"Elanoides forficatus,Buteo brachyurus",Elanoides forficatus,Elanoides forficatus,Elanoides forficatus,NCBI,0.988
"Elanoides forficatus,Buteo brachyurus",Buteo brachyurus,Buteo brachyurus,Buteo brachyurus,NCBI,0.988
"Pernis apivorus,Pandion haliaetus,Falco subbuteo,Circus aeruginosus",Pernis apivorus,Pernis apivorus,Pernis apivorus,NCBI,0.988
"Pernis apivorus,Pandion haliaetus,Falco subbuteo,Circus aeruginosus",Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,NCBI,0.988
"Pernis apivorus,Pandion haliaetus,Falco subbuteo,Circus aeruginosus",Falco subbuteo,Falco subbuteo,Falco subbuteo,NCBI,0.988
"Pernis apivorus,Pandion haliaetus,Falco subbuteo,Circus aeruginosus",Circus aeruginosus,Circus aeruginosus,Circus aeruginosus,NCBI,0.988
"Accipiter cooperii,Buteo jamaicensis,Circus cyaneus,Falco peregrinus,Bubo virginianus",Accipiter cooperii,Accipiter cooperii,Accipiter cooperii,NCBI,0.988
"Accipiter cooperii,Buteo jamaicensis,Circus cyaneus,Falco peregrinus,Bubo virginianus",Buteo jamaicensis,Buteo jamaicensis,Buteo jamaicensis,NCBI,0.988
"Accipiter cooperii,Buteo jamaicensis,Circus cyaneus,Falco peregrinus,Bubo virginianus",Circus cyaneus,Circus cyaneus,Circus cyaneus,NCBI,0.988
"Accipiter cooperii,Buteo jamaicensis,Circus cyaneus,Falco peregrinus,Bubo virginianus",Falco peregrinus,Falco peregrinus,Falco peregrinus,NCBI,0.988
"Accipiter cooperii,Buteo jamaicensis,Circus cyaneus,Falco peregrinus,Bubo virginianus",Bubo virginianus,Bubo virginianus,Bubo virginianus,NCBI,0.988
Bubo virginianus,Bubo virginianus,Bubo virginianus,Bubo virginianus,NCBI,0.988
Rattus fuscipes,Rattus fuscipes,Rattus fuscipes,Rattus fuscipes,NCBI,0.988
"Phaethon ,Phaethon aethereus",Phaethon ,Phaethon,Phaethon,Catalogue of Life,0.75
"Phaethon ,Phaethon aethereus",Phaethon aethereus,Phaethon aethereus,Phaethon aethereus,NCBI,0.988
Picoides borealis,Picoides borealis,Picoides borealis,Picoides borealis,NCBI,0.988
Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,NCBI,0.988
"Morus bassanus,Homo sapiens",Morus bassanus,Morus bassanus,Morus bassanus,NCBI,0.988
"Morus bassanus,Homo sapiens",Homo sapiens,Homo sapiens,Homo sapiens,NCBI,0.988
Egretta rufescens,Egretta rufescens,Egretta rufescens,Egretta rufescens,NCBI,0.988
Sciaenops ocellatus,Sciaenops ocellatus,Sciaenops ocellatus,Sciaenops ocellatus,NCBI,0.988
Phalacrocorax urile,Phalacrocorax urile,Phalacrocorax urile,Phalacrocorax urile,Freebase,0.988
Sula sula,Sula sula,Sula sula,Sula sula,NCBI,0.988
"Pernis apivorus,Milvus milvus",Pernis apivorus,Pernis apivorus,Pernis apivorus,NCBI,0.988
"Pernis apivorus,Milvus milvus",Milvus milvus,Milvus milvus,Milvus milvus,NCBI,0.988
"Circus cyaneus,Milvus milvus",Circus cyaneus,Circus cyaneus,Circus cyaneus,NCBI,0.988
"Circus cyaneus,Milvus milvus",Milvus milvus,Milvus milvus,Milvus milvus,NCBI,0.988
"Milvus ,Milvus milvus",Milvus ,Milvus,Milvus,Catalogue of Life,0.75
"Milvus ,Milvus milvus",Milvus milvus,Milvus milvus,Milvus milvus,NCBI,0.988
Phalaropus lobatus,Phalaropus lobatus,Phalaropus lobatus,Phalaropus lobatus,NCBI,0.988
Phaethon rubricauda,Phaethon rubricauda,Phaethon rubricauda,Phaethon rubricauda,NCBI,0.988
"Agelaius ,Agelaius phoeniceus",Agelaius ,Agelaius,Agelaius,Catalogue of Life,0.75
"Agelaius ,Agelaius phoeniceus",Agelaius phoeniceus,Agelaius phoeniceus,Agelaius phoeniceus,NCBI,0.988
Manta,Manta,Manta,Manta,Freebase,0.75
Polytelis,Polytelis,Polytelis,Polytelis,Catalogue of Life,0.75
Cerorhinca monocerata,Cerorhinca monocerata,Cerorhinca monocerata,Cerorhinca monocerata,NCBI,0.988
Rallidae,Rallidae,Rallidae,Rallidae,Catalogue of Life,0.75
Pusa hispida,Pusa hispida,Pusa hispida,Pusa hispida,NCBI,0.988
Grampus griseus,Grampus griseus,Grampus griseus,Grampus griseus,NCBI,0.988
Siganus rivulatus,Siganus rivulatus,Siganus rivulatus,Siganus rivulatus,NCBI,0.988
Eudyptes chrysocome,Eudyptes chrysocome,Eudyptes chrysocome,Eudyptes chrysocome,NCBI,0.988
Tragopan satyra,Tragopan satyra,Tragopan satyra,Tragopan satyra,NCBI,0.988
"Homo sapiens,Bos taurus,Ovis aries",Homo sapiens,Homo sapiens,Homo sapiens,NCBI,0.988
"Homo sapiens,Bos taurus,Ovis aries",Bos taurus,Bos taurus,Bos taurus,NCBI,0.988
"Homo sapiens,Bos taurus,Ovis aries",Ovis aries,Ovis aries,Ovis aries,NCBI,0.988
"Accipiter cooperii,Buteo jamaicensis,Falco peregrinus",Accipiter cooperii,Accipiter cooperii,Accipiter cooperii,NCBI,0.988
"Accipiter cooperii,Buteo jamaicensis,Falco peregrinus",Buteo jamaicensis,Buteo jamaicensis,Buteo jamaicensis,NCBI,0.988
"Accipiter cooperii,Buteo jamaicensis,Falco peregrinus",Falco peregrinus,Falco peregrinus,Falco peregrinus,NCBI,0.988
Euphagus carolinus,Euphagus carolinus,Euphagus carolinus,Euphagus carolinus,NCBI,0.988
Saguinus geoffroyi,Saguinus geoffroyi,Saguinus geoffroyi,Saguinus geoffroyi,NCBI,0.988
Saiga tatarica,Saiga tatarica,Saiga tatarica,Saiga tatarica,NCBI,0.988
Calidris alba,Calidris alba,Calidris alba,Calidris alba,NCBI,0.988
Varanus gouldii,Varanus gouldii,Varanus gouldii,Varanus gouldii,NCBI,0.988
"Riparia riparia,Delichon urbicum",Riparia riparia,Riparia riparia,Riparia riparia,NCBI,0.988
"Riparia riparia,Delichon urbicum",Delichon urbicum,Delichon urbicum,Delichon urbicum,NCBI,0.988
Carcharias taurus,Carcharias taurus,Carcharias taurus,Carcharias taurus,NCBI,0.988
"Lynx rufus,Urocyon cinereoargenteus",Lynx rufus,Lynx rufus,Lynx rufus,NCBI,0.988
"Lynx rufus,Urocyon cinereoargenteus",Urocyon cinereoargenteus,Urocyon cinereoargenteus,Urocyon cinereoargenteus,NCBI,0.988
"Ursus arctos,Lynx lynx,Canis lupus",Ursus arctos,Ursus arctos,Ursus arctos,NCBI,0.988
"Ursus arctos,Lynx lynx,Canis lupus",Lynx lynx,Lynx lynx,Lynx lynx,NCBI,0.988
"Ursus arctos,Lynx lynx,Canis lupus",Canis lupus,Canis lupus,Canis lupus,NCBI,0.988
"Accipiter nisus,Buteo buteo,Circus cyaneus,Circus macrourus,Circus pygargus,Burhinus oedicnemus,Circus aeruginosus",Accipiter nisus,Accipiter nisus,Accipiter nisus,NCBI,0.988
"Accipiter nisus,Buteo buteo,Circus cyaneus,Circus macrourus,Circus pygargus,Burhinus oedicnemus,Circus aeruginosus",Buteo buteo,Buteo buteo,Buteo buteo,NCBI,0.988
"Accipiter nisus,Buteo buteo,Circus cyaneus,Circus macrourus,Circus pygargus,Burhinus oedicnemus,Circus aeruginosus",Circus cyaneus,Circus cyaneus,Circus cyaneus,NCBI,0.988
"Accipiter nisus,Buteo buteo,Circus cyaneus,Circus macrourus,Circus pygargus,Burhinus oedicnemus,Circus aeruginosus",Circus macrourus,Circus macrourus,Circus macrourus,NCBI,0.988
"Accipiter nisus,Buteo buteo,Circus cyaneus,Circus macrourus,Circus pygargus,Burhinus oedicnemus,Circus aeruginosus",Circus pygargus,Circus pygargus,Circus pygargus,NCBI,0.988
"Accipiter nisus,Buteo buteo,Circus cyaneus,Circus macrourus,Circus pygargus,Burhinus oedicnemus,Circus aeruginosus",Burhinus oedicnemus,Burhinus oedicnemus,Burhinus oedicnemus,NCBI,0.988
"Accipiter nisus,Buteo buteo,Circus cyaneus,Circus macrourus,Circus pygargus,Burhinus oedicnemus,Circus aeruginosus",Circus aeruginosus,Circus aeruginosus,Circus aeruginosus,NCBI,0.988
Passerculus sandwichensis,Passerculus sandwichensis,Passerculus sandwichensis,Passerculus sandwichensis,NCBI,0.988
Locustella luscinioides,Locustella luscinioides,Locustella luscinioides,Locustella luscinioides,NCBI,0.988
Ara macao,Ara macao,Ara macao,Ara macao,NCBI,0.988
"Gyps fulvus,Gyps rueppellii",Gyps fulvus,Gyps fulvus,Gyps fulvus,NCBI,0.988
"Gyps fulvus,Gyps rueppellii",Gyps rueppellii,Gyps rueppellii,Gyps rueppellii,NCBI,0.988
"Somateria mollissima,Alca torda",Somateria mollissima,Somateria mollissima,Somateria mollissima,NCBI,0.988
"Somateria mollissima,Alca torda",Alca torda,Alca torda,Alca torda,NCBI,0.988
"Gavia stellata,Clangula hyemalis,Melanitta fusca",Gavia stellata,Gavia stellata,Gavia stellata,NCBI,0.988
"Gavia stellata,Clangula hyemalis,Melanitta fusca",Clangula hyemalis,Clangula hyemalis,Clangula hyemalis,NCBI,0.988
"Gavia stellata,Clangula hyemalis,Melanitta fusca",Melanitta fusca,Melanitta fusca,Melanitta fusca,NCBI,0.988
"Aythya fuligula,Clangula hyemalis,Somateria mollissima,Melanitta nigra",Aythya fuligula,Aythya fuligula,Aythya fuligula,NCBI,0.988
"Aythya fuligula,Clangula hyemalis,Somateria mollissima,Melanitta nigra",Clangula hyemalis,Clangula hyemalis,Clangula hyemalis,NCBI,0.988
"Aythya fuligula,Clangula hyemalis,Somateria mollissima,Melanitta nigra",Somateria mollissima,Somateria mollissima,Somateria mollissima,NCBI,0.988
"Aythya fuligula,Clangula hyemalis,Somateria mollissima,Melanitta nigra",Melanitta nigra,Melanitta nigra,Melanitta nigra,NCBI,0.988
"Orcinus orca,Arctocephalus gazella,Arctocephalus tropicalis,Mirounga leonina",Orcinus orca,Orcinus orca,Orcinus orca,NCBI,0.988
"Orcinus orca,Arctocephalus gazella,Arctocephalus tropicalis,Mirounga leonina",Arctocephalus gazella,Arctocephalus gazella,Arctocephalus gazella,NCBI,0.988
"Orcinus orca,Arctocephalus gazella,Arctocephalus tropicalis,Mirounga leonina",Arctocephalus tropicalis,Arctocephalus tropicalis,Arctocephalus tropicalis,NCBI,0.988
"Orcinus orca,Arctocephalus gazella,Arctocephalus tropicalis,Mirounga leonina",Mirounga leonina,Mirounga leonina,Mirounga leonina,NCBI,0.988
Physeter,Physeter,Physeter,Physeter,Catalogue of Life,0.75
"Chelonia mydas,Eretmochelys imbricata",Chelonia mydas,Chelonia mydas,Chelonia mydas,NCBI,0.988
"Chelonia mydas,Eretmochelys imbricata",Eretmochelys imbricata,Eretmochelys imbricata,Eretmochelys imbricata,NCBI,0.988
"Caretta caretta,Chelonia mydas,Eretmochelys imbricata",Caretta caretta,Caretta caretta,Caretta caretta,NCBI,0.988
"Caretta caretta,Chelonia mydas,Eretmochelys imbricata",Chelonia mydas,Chelonia mydas,Chelonia mydas,NCBI,0.988
"Caretta caretta,Chelonia mydas,Eretmochelys imbricata",Eretmochelys imbricata,Eretmochelys imbricata,Eretmochelys imbricata,NCBI,0.988
Falconidae,Falconidae,Falconidae,Falconidae,Catalogue of Life,0.75
"Numenius phaeopus,Limosa lapponica",Numenius phaeopus,Numenius phaeopus,Numenius phaeopus,NCBI,0.988
"Numenius phaeopus,Limosa lapponica",Limosa lapponica,Limosa lapponica,Limosa lapponica,NCBI,0.988
